latitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,,,,,,
9.947276,139,28800,Asia/Singapore,GMT+8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
01-01-2000,3,24.7,28.7,22.4,26.1,29.2,2000-01-01T20:37,41587.1,36000,0,0,14.7,34.9,35,16.33,4
02-01-2000,3,24.2,29.2,20,25.5,30.1,2000-01-02T20:37,41594.91,38369.72,0,0,14.8,34.9,23,21.2,4.63
03-01-2000,53,23,26.2,20,25.1,27.8,2000-01-03T20:38,41603.5,16749.03,1.5,3,9.3,27,20,9.28,2.16
04-01-2000,51,24,29.2,19.3,25.6,30.1,2000-01-04T20:38,41612.85,37674.98,0.1,1,13,32,27,20.11,4.36
05-01-2000,51,24,27.5,20.4,25.6,29.1,2000-01-05T20:39,41622.95,26694.39,1,4,16.1,36.7,21,12.77,3.11
06-01-2000,51,24.9,27.8,22.8,27.1,29.2,2000-01-06T20:39,41633.78,27687.22,0.7,3,16.6,36.4,30,11.13,2.89
07-01-2000,51,24.6,26.7,23.2,26.3,28,2000-01-07T20:40,41645.3,14328.59,0.1,1,15.8,36.4,25,8.69,2.65
08-01-2000,51,24.2,26.8,21.9,26.1,28.4,2000-01-08T20:41,41657.51,7489.39,0.9,5,17.4,37.1,27,7.84,2.35
09-01-2000,53,24.1,25.8,22.9,26.5,28.2,2000-01-09T20:41,41670.38,10034.65,2.9,7,12.1,36.4,22,7.76,2.08
10-01-2000,53,24.3,27.5,22.6,27.2,29.9,2000-01-10T20:42,41683.89,23293.69,2.6,11,14.3,32.4,42,10.97,2.49
11-01-2000,63,24,27.1,22.7,27.5,30.3,2000-01-11T20:42,41698.02,27568.01,13,12,11.4,29.2,38,11.69,2.4
12-01-2000,51,24.6,28,22.1,27.7,30.8,2000-01-12T20:43,41712.75,29806.26,0.4,4,10.6,22.7,39,13.36,2.87
13-01-2000,3,24.8,28.2,21.5,27.8,30.3,2000-01-13T20:43,41728.05,34378.75,0,0,9.8,23.4,50,14.08,3.03
14-01-2000,3,24.3,29.2,19.4,27.3,31.8,2000-01-14T20:44,41743.92,35057.87,0,0,7.3,20.9,52,17.31,3.59
15-01-2000,3,24.9,29.8,20.3,28.2,32.6,2000-01-15T20:44,41760.31,32366.9,0,0,6.8,19.1,61,15.75,3.38
16-01-2000,61,24.5,28.5,22.1,28.2,31.4,2000-01-16T20:45,41777.23,28560.62,2.9,6,12.8,32.8,61,13.54,2.88
17-01-2000,51,25,29.4,22.4,27.4,30.7,2000-01-17T20:45,41794.64,34386.06,0.3,1,14.2,33.1,43,15.51,3.59
18-01-2000,2,23.9,29.5,18.5,25.5,30.2,2000-01-18T20:46,41812.53,39025.36,0,0,16.4,36.7,38,20.58,4.47
19-01-2000,1,23.7,30,17.9,25.2,31.4,2000-01-19T20:46,41830.88,39229.8,0,0,14.5,33.5,32,21.75,4.7
20-01-2000,2,23.7,30.3,17.2,26,33.9,2000-01-20T20:47,41849.86,39252.26,0,0,10,20.2,45,22.92,4.73
21-01-2000,2,23.6,30.8,17.2,25.7,33.1,2000-01-21T20:47,41869.55,38358,0,0,9.4,20.5,64,23.22,4.8
22-01-2000,0,23.2,29.7,17.1,24.8,31.7,2000-01-22T20:47,41889.91,39299.53,0,0,8.7,21.6,63,23.79,4.78
23-01-2000,3,23.5,30.4,17.5,25.7,33.4,2000-01-23T20:48,41910.91,38820.79,0,0,7.8,16.9,96,23.68,4.71
24-01-2000,3,24,31.1,18.3,25.8,33.5,2000-01-24T20:48,41932.53,39349.62,0,0,9.7,20.5,81,23.78,4.96
