weather_code,temperature_mean_c,temperature_max_c,temperature_min_c,apparent_temperature_mean_c,apparent_temperature_max_c,sunset_time,daylight_duration_seconds,sunshine_duration_seconds,precipitation_total_mm,precipitation_duration_hours,wind_speed_max_kmh,wind_gust_max_kmh,wind_direction_dominant_deg,solar_radiation_total_mj_m2,evapotranspiration_mm,tomorrow_weather_code,weather_day_after,tomorrow_temperature_max_c,day_after_tomorrow_temperature_max_c,tomorrow_temperature_min_c,day_after_tomorrow_temperature_min_c
1.0,24.4,27.1,22.6,24.7,28.1,23460,40917.93,38184.94,0.0,0.0,22.4,38.9,51.0,17.15,4.52,1.0,1.0,27.3,26.8,21.9,21.5
1.0,24.4,27.3,21.9,25.0,27.8,23460,40928.5,37726.67,0.0,0.0,19.9,34.9,33.0,15.93,4.22,1.0,1.0,26.8,27.1,21.5,20.8
1.0,23.9,26.8,21.5,24.4,27.2,23460,40940.13,38142.69,0.0,0.0,22.9,40.0,35.0,17.47,4.27,1.0,2.0,27.1,27.0,20.8,22.7
1.0,23.8,27.1,20.8,24.6,28.2,23520,40952.79,38122.46,0.0,0.0,20.4,36.7,32.0,18.76,4.33,2.0,2.0,27.0,27.1,22.7,23.0
2.0,24.7,27.0,22.7,25.8,28.3,23520,40966.43,37460.88,0.3,3.0,24.2,42.1,29.0,14.69,3.71,2.0,1.0,27.1,27.4,23.0,22.3
2.0,24.8,27.1,23.0,25.7,27.8,23520,40981.04,36332.56,0.5,4.0,25.3,43.6,30.0,14.07,3.64,1.0,1.0,27.4,27.2,22.3,23.3
1.0,24.6,27.4,22.3,25.5,28.1,23580,40996.59,38066.04,0.0,0.0,26.1,44.6,33.0,17.78,4.15,1.0,1.0,27.2,27.4,23.3,22.7
1.0,24.8,27.2,23.3,25.6,28.3,23580,41013.05,37326.15,0.0,0.0,23.9,40.7,40.0,16.33,4.2,1.0,2.0,27.4,27.4,22.7,23.2
1.0,24.6,27.4,22.7,26.1,29.0,23580,41030.39,36953.69,0.0,0.0,21.4,36.4,37.0,15.74,3.67,2.0,2.0,27.4,26.9,23.2,22.7
2.0,24.9,27.4,23.2,26.5,28.6,23640,41048.59,37393.61,1.1,4.0,20.9,38.5,46.0,12.54,3.3,2.0,1.0,26.9,27.7,22.7,22.7
2.0,24.5,26.9,22.7,26.5,28.7,23640,41067.62,36706.84,1.1,5.0,20.8,36.7,48.0,15.53,3.37,1.0,1.0,27.7,28.2,22.7,20.0
1.0,24.7,27.7,22.7,27.0,30.1,23640,41087.43,37070.88,0.0,0.0,14.4,26.6,53.0,15.92,3.52,1.0,1.0,28.2,28.4,20.0,20.4
1.0,24.2,28.2,20.0,26.7,30.9,23640,41108.02,37977.21,0.0,0.0,13.2,24.8,61.0,18.67,3.86,1.0,1.0,28.4,28.9,20.4,20.2
1.0,24.2,28.4,20.4,27.4,32.1,23700,41129.36,36463.97,0.0,0.0,9.1,18.7,90.0,17.82,3.6,1.0,1.0,28.9,28.8,20.2,21.8
1.0,24.4,28.9,20.2,27.6,32.7,23700,41151.41,37185.13,0.0,0.0,11.4,20.9,119.0,17.35,3.64,1.0,1.0,28.8,27.8,21.8,21.7
1.0,24.9,28.8,21.8,28.0,32.0,23700,41174.14,37901.76,0.0,0.0,14.7,27.4,79.0,18.11,3.79,1.0,1.0,27.8,28.1,21.7,20.5
1.0,24.3,27.8,21.7,26.6,30.5,23700,41197.54,37563.71,0.0,0.0,16.9,31.0,39.0,19.32,4.0,1.0,1.0,28.1,28.9,20.5,19.9
1.0,24.2,28.1,20.5,26.1,30.1,23700,41221.57,37438.82,0.0,0.0,18.3,33.1,34.0,20.15,4.22,1.0,1.0,28.9,29.2,19.9,19.5
1.0,24.4,28.9,19.9,27.2,31.5,23700,41246.21,37433.35,0.0,0.0,13.5,24.5,50.0,18.13,3.8,1.0,1.0,29.2,28.6,19.5,18.9
1.0,23.6,29.2,19.5,26.7,33.5,23700,41271.73,35434.05,0.0,0.0,11.2,21.2,135.0,20.68,4.16,1.0,1.0,28.6,27.7,18.9,18.5
1.0,23.0,28.6,18.9,25.4,32.2,23700,41298.2,36481.82,0.0,0.0,13.2,25.6,173.0,20.79,4.1,1.0,1.0,27.7,28.2,18.5,17.6
1.0,22.7,27.7,18.5,25.1,30.6,23700,41325.55,35639.99,0.0,0.0,12.3,24.8,157.0,19.37,3.83,1.0,1.0,28.2,28.3,17.6,18.1
1.0,22.4,28.2,17.6,24.4,30.8,23700,41353.76,35661.68,0.0,0.0,14.2,27.4,174.0,20.32,3.99,1.0,1.0,28.3,27.9,18.1,20.1
1.0,23.1,28.3,18.1,25.4,31.5,23700,41382.77,37780.23,0.0,0.0,11.4,23.0,125.0,19.88,4.01,1.0,2.0,27.9,28.4,20.1,20.2
1.0,23.9,27.9,20.1,26.1,30.6,23700,41412.55,37777.76,0.0,0.0,15.8,29.5,57.0,19.25,4.05,2.0,1.0,28.4,28.1,20.2,21.6
2.0,24.3,28.4,20.2,26.2,30.8,23700,41443.04,37966.8,0.1,1.0,15.0,30.6,50.0,20.14,4.38,1.0,1.0,28.1,28.7,21.6,22.1
1.0,24.4,28.1,21.6,25.8,29.1,23700,41474.2,37815.91,0.0,0.0,21.7,38.2,49.0,20.69,4.58,1.0,1.0,28.7,29.2,22.1,21.1
1.0,24.8,28.7,22.1,26.0,30.0,23700,41506.0,37058.51,0.0,0.0,18.8,33.8,34.0,18.36,4.49,1.0,1.0,29.2,29.3,21.1,19.5
1.0,24.5,29.2,21.1,26.7,31.4,23700,41538.38,38235.54,0.0,0.0,16.0,29.9,35.0,21.52,4.54,1.0,1.0,29.3,28.7,19.5,20.9
1.0,23.8,29.3,19.5,26.3,32.1,23700,41571.32,36577.77,0.0,0.0,14.6,28.1,50.0,21.5,4.49,1.0,1.0,28.7,27.7,20.9,20.5
