weather_code,temperature_mean_c,temperature_max_c,temperature_min_c,apparent_temperature_mean_c,apparent_temperature_max_c,sunset_time,daylight_duration_seconds,sunshine_duration_seconds,precipitation_total_mm,precipitation_duration_hours,wind_speed_max_kmh,wind_gust_max_kmh,wind_direction_dominant_deg,solar_radiation_total_mj_m2,evapotranspiration_mm,tomorrow_weather_code,weather_day_after,tomorrow_temperature_max_c,day_after_tomorrow_temperature_max_c,tomorrow_temperature_min_c,day_after_tomorrow_temperature_min_c
1,24.7,28.7,22.4,26.1,29.2,74220,41587.1,36000.0,0.0,0,14.7,34.9,35,16.33,4.0,1.0,2.0,29.2,26.2,20.0,20.0
1,24.2,29.2,20.0,25.5,30.1,74220,41594.91,38369.72,0.0,0,14.8,34.9,23,21.2,4.63,2.0,2.0,26.2,29.2,20.0,19.3
2,23.0,26.2,20.0,25.1,27.8,74280,41603.5,16749.03,1.5,3,9.3,27.0,20,9.28,2.16,2.0,2.0,29.2,27.5,19.3,20.4
2,24.0,29.2,19.3,25.6,30.1,74280,41612.85,37674.98,0.1,1,13.0,32.0,27,20.11,4.36,2.0,2.0,27.5,27.8,20.4,22.8
2,24.0,27.5,20.4,25.6,29.1,74340,41622.95,26694.39,1.0,4,16.1,36.7,21,12.77,3.11,2.0,2.0,27.8,26.7,22.8,23.2
2,24.9,27.8,22.8,27.1,29.2,74340,41633.78,27687.22,0.7,3,16.6,36.4,30,11.13,2.89,2.0,2.0,26.7,26.8,23.2,21.9
2,24.6,26.7,23.2,26.3,28.0,74400,41645.3,14328.59,0.1,1,15.8,36.4,25,8.69,2.65,2.0,2.0,26.8,25.8,21.9,22.9
2,24.2,26.8,21.9,26.1,28.4,74460,41657.51,7489.39,0.9,5,17.4,37.1,27,7.84,2.35,2.0,2.0,25.8,27.5,22.9,22.6
2,24.1,25.8,22.9,26.5,28.2,74460,41670.38,10034.65,2.9,7,12.1,36.4,22,7.76,2.08,2.0,2.0,27.5,27.1,22.6,22.7
2,24.3,27.5,22.6,27.2,29.9,74520,41683.89,23293.69,2.6,11,14.3,32.4,42,10.97,2.49,2.0,2.0,27.1,28.0,22.7,22.1
2,24.0,27.1,22.7,27.5,30.3,74520,41698.02,27568.01,13.0,12,11.4,29.2,38,11.69,2.4,2.0,1.0,28.0,28.2,22.1,21.5
2,24.6,28.0,22.1,27.7,30.8,74580,41712.75,29806.26,0.4,4,10.6,22.7,39,13.36,2.87,1.0,1.0,28.2,29.2,21.5,19.4
1,24.8,28.2,21.5,27.8,30.3,74580,41728.05,34378.75,0.0,0,9.8,23.4,50,14.08,3.03,1.0,1.0,29.2,29.8,19.4,20.3
1,24.3,29.2,19.4,27.3,31.8,74640,41743.92,35057.87,0.0,0,7.3,20.9,52,17.31,3.59,1.0,2.0,29.8,28.5,20.3,22.1
1,24.9,29.8,20.3,28.2,32.6,74640,41760.31,32366.9,0.0,0,6.8,19.1,61,15.75,3.38,2.0,2.0,28.5,29.4,22.1,22.4
2,24.5,28.5,22.1,28.2,31.4,74700,41777.23,28560.62,2.9,6,12.8,32.8,61,13.54,2.88,2.0,1.0,29.4,29.5,22.4,18.5
2,25.0,29.4,22.4,27.4,30.7,74700,41794.64,34386.06,0.3,1,14.2,33.1,43,15.51,3.59,1.0,1.0,29.5,30.0,18.5,17.9
1,23.9,29.5,18.5,25.5,30.2,74760,41812.53,39025.36,0.0,0,16.4,36.7,38,20.58,4.47,1.0,1.0,30.0,30.3,17.9,17.2
1,23.7,30.0,17.9,25.2,31.4,74760,41830.88,39229.8,0.0,0,14.5,33.5,32,21.75,4.7,1.0,1.0,30.3,30.8,17.2,17.2
1,23.7,30.3,17.2,26.0,33.9,74820,41849.86,39252.26,0.0,0,10.0,20.2,45,22.92,4.73,1.0,0.0,30.8,29.7,17.2,17.1
1,23.6,30.8,17.2,25.7,33.1,74820,41869.55,38358.0,0.0,0,9.4,20.5,64,23.22,4.8,0.0,1.0,29.7,30.4,17.1,17.5
0,23.2,29.7,17.1,24.8,31.7,74820,41889.91,39299.53,0.0,0,8.7,21.6,63,23.79,4.78,1.0,1.0,30.4,31.1,17.5,18.3
