weather_code,temperature_mean_c,temperature_max_c,temperature_min_c,apparent_temperature_mean_c,apparent_temperature_max_c,sunset_time,daylight_duration_seconds,sunshine_duration_seconds,precipitation_total_mm,precipitation_duration_hours,wind_speed_max_kmh,wind_gust_max_kmh,wind_direction_dominant_deg,solar_radiation_total_mj_m2,evapotranspiration_mm,tomorrow_weather_code,weather_day_after,tomorrow_temperature_max_c,day_after_tomorrow_temperature_max_c,tomorrow_temperature_min_c,day_after_tomorrow_temperature_min_c
2.0,4.2,6.5,2.5,0.8,3.3,31800,31831.09,21995.35,4.1,15.0,17.2,38.2,207.0,3.83,0.38,2.0,2.0,6.0,7.1,2.6,3.9
2.0,3.9,6.0,2.6,0.6,2.8,31800,31883.9,18203.83,5.3,22.0,14.3,39.6,212.0,4.23,0.42,2.0,2.0,7.1,8.7,3.9,4.0
2.0,5.7,7.1,3.9,2.1,3.4,31800,31941.56,0.0,9.5,21.0,23.5,63.7,173.0,0.65,0.21,2.0,2.0,8.7,7.2,4.0,0.4
2.0,6.9,8.7,4.0,3.6,5.8,31800,32003.94,26000.55,17.9,16.0,28.6,58.3,208.0,4.82,0.5,2.0,2.0,7.2,6.1,0.4,-0.9
2.0,4.0,7.2,0.4,1.5,5.3,31800,32070.89,24236.89,0.1,1.0,9.2,21.2,183.0,3.41,0.38,2.0,2.0,6.1,8.5,-0.9,4.5
2.0,2.2,6.1,-0.9,-0.8,2.7,31800,32142.26,1518.48,3.2,5.0,13.4,29.9,158.0,2.94,0.4,2.0,2.0,8.5,8.8,4.5,5.5
2.0,7.0,8.5,4.5,4.0,6.2,31740,32217.91,0.0,0.7,1.0,20.1,36.4,178.0,1.27,0.38,2.0,2.0,8.8,7.6,5.5,4.2
2.0,7.1,8.8,5.5,3.7,4.9,31740,32297.69,27091.79,5.6,18.0,24.2,63.0,223.0,4.64,0.58,2.0,2.0,7.6,5.7,4.2,3.9
2.0,6.1,7.6,4.2,2.2,3.7,31740,32381.45,9849.72,16.8,16.0,29.2,73.1,217.0,2.88,0.45,2.0,2.0,5.7,4.7,3.9,2.0
2.0,4.7,5.7,3.9,1.9,3.6,31740,32469.05,0.0,19.6,24.0,14.1,30.6,195.0,0.57,0.14,2.0,3.0,4.7,3.2,2.0,1.1
2.0,3.2,4.7,2.0,-0.4,1.9,31680,32560.33,5358.43,4.8,14.0,21.3,45.4,203.0,3.48,0.31,3.0,3.0,3.2,5.2,1.1,1.9
3.0,2.2,3.2,1.1,-2.1,-0.7,31680,32655.15,0.0,16.3,24.0,20.5,48.6,180.0,2.74,0.27,3.0,2.0,5.2,8.0,1.9,2.5
3.0,3.6,5.2,1.9,0.3,3.0,31620,32753.38,0.0,20.1,23.0,18.3,41.8,164.0,2.02,0.27,2.0,2.0,8.0,5.4,2.5,-2.9
2.0,5.5,8.0,2.5,2.0,4.4,31620,32854.85,18474.48,7.6,16.0,18.7,59.4,188.0,3.62,0.46,2.0,2.0,5.4,8.6,-2.9,2.7
2.0,1.5,5.4,-2.9,-1.8,2.3,31560,32959.44,6322.24,3.7,5.0,12.7,26.6,28.0,3.86,0.49,2.0,1.0,8.6,9.7,2.7,-1.9
2.0,5.6,8.6,2.7,0.9,3.0,31560,33066.99,20511.74,9.0,21.0,39.5,98.6,189.0,4.61,0.84,1.0,1.0,9.7,7.2,-1.9,-1.2
1.0,3.6,9.7,-1.9,0.8,7.3,31500,33177.38,29190.19,0.0,0.0,10.6,25.2,44.0,8.15,0.84,1.0,2.0,7.2,6.3,-1.2,-1.5
1.0,2.2,7.2,-1.2,-1.0,4.3,31500,33290.46,25662.39,0.0,0.0,9.1,19.4,9.0,6.24,0.67,2.0,2.0,6.3,10.0,-1.5,0.1
2.0,2.1,6.3,-1.5,-1.0,3.1,31440,33406.68,19242.04,8.4,7.0,9.4,33.1,17.0,4.54,0.56,2.0,2.0,10.0,10.6,0.1,4.5
2.0,4.9,10.0,0.1,2.4,8.9,31380,33527.12,13733.49,2.0,7.0,19.5,37.4,132.0,4.53,0.59,2.0,2.0,10.6,9.9,4.5,2.2
2.0,6.9,10.6,4.5,3.7,8.5,31380,33651.59,15694.76,4.7,18.0,22.3,46.1,173.0,5.0,0.83,2.0,1.0,9.9,7.9,2.2,-1.7
2.0,6.3,9.9,2.2,3.4,7.4,31320,33779.87,27360.64,0.1,1.0,14.6,28.1,164.0,6.44,0.81,1.0,2.0,7.9,6.1,-1.7,0.7
1.0,2.6,7.9,-1.7,-0.4,5.1,31260,33911.73,23808.07,0.0,0.0,9.0,23.8,8.0,6.71,0.76,2.0,2.0,6.1,9.1,0.7,3.6
2.0,3.1,6.1,0.7,0.3,3.8,31200,34046.94,382.29,14.8,18.0,9.1,40.0,18.0,1.94,0.25,2.0,1.0,9.1,8.1,3.6,0.6
2.0,5.8,9.1,3.6,3.4,6.9,31140,34185.29,20146.71,4.5,12.0,10.6,31.0,205.0,4.99,0.61,1.0,1.0,8.1,7.3,0.6,-2.0
1.0,4.0,8.1,0.6,1.3,5.4,31080,34326.57,30156.37,0.0,0.0,7.6,22.0,208.0,5.85,0.71,1.0,0.0,7.3,8.8,-2.0,-2.7
1.0,2.4,7.3,-2.0,-0.6,4.0,31020,34470.57,30625.1,0.0,0.0,11.0,27.0,9.0,8.61,0.86,0.0,0.0,8.8,7.8,-2.7,-2.7
0.0,1.7,8.8,-2.7,-1.6,6.1,30960,34617.07,30786.22,0.0,0.0,9.0,16.2,18.0,9.81,1.06,0.0,2.0,7.8,4.9,-2.7,-3.1
